artist,song_id,title,url,lyrics,year
Mary Jane Dunphe,9317354,Stage of Love,https://genius.com/Mary-jane-dunphe-stage-of-love-lyrics,"2 ContributorsStage of Love Lyrics
My seal is too thin
My taste buds are too sensitive

Your love makes it hard to sleep
You no love make it hard to

On the stage of love we give what we don’t have
On the stage of love we give what we don’t have
On the stage of love we give what we don’t have
On the stage of love we give what we don’t have

Its growing
Even if you can’t see it

On the stage of love we give what we don’t have
On the stage of love we give what we don’t have
On the stage of love we give what we don’t have
On the stage of love we give what we don’t haveYou might also likeEmbed",2023
Marina Herlop,9484640,La Alhambra,https://genius.com/Marina-herlop-la-alhambra-lyrics,"4 ContributorsLa Alhambra LyricsDamunt del cap els Deus ens van regant
Van tots molt lents, van cap al cel
Els dits discrets de tensar en el seu bosc
Som rars per ells, som tots cadells
Ahhh

Som rars per ells, som tots cadells
Ha rebentat la membrana (M'han fet)
Has creuat el fang descalça (Venir)
Cremen els ulls aquests arbres gegants
Estan parlant de fer un forat
Cremen els ulls aquests arbres gegants
Estan cansats de tants humans
No pеrmetis que s’adormin (M'han fet)
Canta fort quе no s'adormin (Mentir)
Si les deixes sense sort (Les flors)
Es marceixen de tristor (I de por)
Si no cantes no respiro
Damunt del cap els Deus ens van regant

Som rars per ells, som tots cadells
Estan ballant, de cop cauran
Estan cansats de tants humans
You might also like
No permetis que s’adormin (Van fer)
Canta fort que no s'adormin (Venir)
Notes l'arrel que apreta les parets (Van fer)
Empeny, empeny, vol trencar el cel
Notes l'arrel que apreta les parets (Venir)
Empeny, empeny, vol trencar el cel
Van fer
Venir
Notes l'arrel que apreta les parets (Van fer)
Empeny, empeny que es trenqui el celEmbed",2023
"Peso Pluma, Gabito Ballesteros & Junior H",9155791,LADY GAGA,https://genius.com/Peso-pluma-gabito-ballesteros-and-junior-h-lady-gaga-lyrics,"23 ContributorsTranslationsDeutschEnglishLADY GAGA Lyrics

Dom Pérignon Lady Gaga, lentes en la cara, tusi y lavada
Triple lavada, y una bandida que me llama, quieren mi lana
Y no está mal, porque me seduce como animal
Ninguna sube nada al Instagram, solo disfrutan, solo disfrutan

Pura influencer bien placosa, las que navegamos y las volamos
Islas privadas en yate, tronamos las pacas y sin Yolanda
Me vo'a enfiestar, polvito rosa, plumita de wax
Esa cintura vale 30K, no puedes pagar, no te va a alcanzar
Viviendo en el San Andrés, pero de a deveras, carros y feria
Tres estrellas me atoraron la clave en caliente, desafanaron
Tusi y cocaine
Me gusta el Lambo, pero uso el Merced
Esa es muy bella y se deja querer
Le gusta de a cien, quiere mi Cartier

Oh-oh-oh-oh-oh-oh, ah
Ah-ah-ah-ah-ah-ah, ah

Y así nomás, compa Peso, compa Junior
Compa Gabito, Doble P, uh
¡Cha-chau!
Y pura Doble P, viejillo
Que siga la mata dando, compa Junior
Compa Gabito
You might also like
Once, número de suerte
Siete bien pendientes y andamos fuertes
Zumbando en el RZR, máscaras, polvo y ambiente, brillan mis dientes
No soy fresón, pero en Egipto shishas fumo yo
Para mariscos frescos en Japón
Mira jodido, 'ira, jodidón
Makabelico sonando, las güeras bailando con beat malandro
Pura encapuchada bélica, no pasa nada, nadie las para
¿Que quiénes son? Eso mismito me pregunto yo
Cada saludo lleva un billetón
Pura Louis Vuitton, trae un flow cabrón

Dom Pérignon Lady Gaga, lentes en la cara, tusi y lavada
Triple lavada, y una bandida que me llama, quieren mi lana
Y no está mal, porque me seduce como animal
Ninguna sube nada al Instagram, solo disfrutan, solo disfrutan

Oh-oh-oh-oh-oh-oh, ah
Ah-ah-ah-ah-ah-ah, ah
Embed",2023
MSPAINT,8739290,Delete It,https://genius.com/Mspaint-delete-it-lyrics,"3 ContributorsDelete It Lyrics
Just a passerby in the midst of the storm
Stray thoughts, you take in all the pressure you've worn
It burns its way into the front of your mind
Spending all of your time
Counting drops from the sky

I, I, I, I just wanna feel it, not delete it
Something realer and distinguished
I, I, I just wanna feel it, not delete it
Something realer and distinguished
I, I, I just wanna, wanna feel more alive

I came all this way
And now you look at me strange
Tensions release
When it starts to drain, I faint
Don't want to rush yet
Just deconstruct it
Just wanna see for myself what I been missing

I, I, I, I just want to feel it, not delete it
Something realer and distinguished
I, I, I just want to feel it, not delete it
Something realer and distinguished
I, I, I just want to, want to feel more alive
You might also like
Stray thoughts, you take in all the pressure you've worn
It burns its way into the front of your mind
It burns its way into the front of your mind

I, I, I, I just wanna feel it, not delete it
Something realer and distinguished
I, I, I just wanna feel it, not delete it
Something realer and distinguished
I, I, I just wanna, wanna feel more aliveEmbed",2023
RXKNephew,8756414,Yeezy Boots,https://genius.com/Rxknephew-yeezy-boots-lyrics,"11 ContributorsYeezy Boots Lyrics
(Sometimes it snows in Texas)
(Bagwell50k)
Phew, phew, phew
Phew, phew, phew

When I pop out, got that dog shit on me
You broke then don’t be calling on me
Jump out the car got a glick on the side
She saying she love me, but telling me lies
I talk more shit than Kanye West
They say I'm crazy like Kanye West
I can't really agree with Kanye West
Niggas be on drugs like Kanye West
He run around acting like hе don't know it
They gon' kill his ass and everybody know it
You dumb, think Kanyе gonna be homeless
Shut up, Kanye made Graduation
Shut up, Kanye made Jesus Walks
I get high, picturing Jesus talk
If I slap the shit out you it ain't my fault
It's really your fault
I'ma do an interview like Kanye West
Talk more conspiracies than Kanye West
I'ma buy some land like Kanye
Splash a bitch with boiling Bombay
I really wanna buy a flamethrower
Walk in your trap, flamethrow it
Old-ass car, your rims rusty
Cologne stink and you musty
And you dirty, broke, and funky
You should get a tattoo that say, ""I don't want money""
Make a bitch hate me like Kanye West
Shit'll get uglier than Kanye West
Sacrifice my momma like Kanye West
I'll break your jaw like you Kanye West
You can't get a feature like Kanye West
I ain't never really like Kanye West
All Kanye West's raps mediocre
Remember when he had that dumbass haircut?
Nobody from the hood bump Kanye
Never heard a whole album from Kanye
Put wires in your jaw like you Kanye
Tell the Jewish people hire me, I'll kill Kanye
I'll take a billion from you like Kanye
I drop the deal like you Kanye
They doing Kanye like R. Kelly
I ain't mad, I don't wanna hear his music
Now you broke, now you talkin' about sacrifice
All them years, you knew momma was sacrificed
Jesus walks, what? You a sacrifice
Nigga sold his mom for an Adidas deal
Nigga made slave shoes with a Yeezy deal
He just mad cause he was never white
Kanye West wish he was Jewish
Now nigga talking about he autistic
The shit you said, we ain't gon' forgive you
All that trash music, I don't forgive you
I ain't tripping about the shit you said
I'm tripping about them dumbass Yeezy boots
I'll never buy no Yeezy boots
I would never rock nothing that's Yeezy
The name ‘Yeezy’ was never cool
The name ‘Ye’ was never cool
You look like a fool with them big-ass boots
That's why Jay-Z don’t even like you
Somebody tell Kim Kardashian call me
I'm a great stepdad, so call me
Give Kanye kids my last name
All they last names gon' be BEN BALLIN!
Amber Rose licked Kanye booty
World tryna forget like he ain’t do it
Kanye performed with his ass out
How you gon' tell me it's not 'bout clout?
You trying to get the whole world talk about it
Your life boring, we ain't talking 'bout you
All your baby mommas is leftovers
You let Wiz Khalifa fuck your bitch
They had a black and yellow kid
Kanye dirt and his music ass
He rapping about heartbreak, eating ass
How you gonna have a bitch eat your ass?
Nigga bending over for a record deal
I got ACGs, not Adidas
Nigga running around kissing a ass-eater
Nigga stop it, you signed Big Sean
Pusha T don't even like you
Teyana Taylor don't even like you
2 Chainz don't even like you
The whole G.O.O.D. Music made bad music
Pusha T never sold dope
He got a twin brother, they went to church
That's why Drake don't fuck with you
I was never subscribed to your YouTube
I'll never buy a Kanye West album
I'll never buy a Pusha T album
Never met a bitch who bump Teyana Taylor
All them holes in your clothes, nigga, you cold
Balenciaga don't fuck with you
You wasn't street so the hood don't fuck with you
Why you running around beefing with white people?
He wish he was part of the white people
I'm being honest, I hated Yeezys
I'm being honest, I don't bump Young Jeezy
I'm being honest, I never bumped Big Sean
I'm just being honest, I don't even like it
You might also like
(Bagwell50k)
(Sometimes it snows in Texas)Embed",2023
Lankum,8784434,Go Dig My Grave,https://genius.com/Lankum-go-dig-my-grave-lyrics,"8 ContributorsGo Dig My Grave Lyrics
Go dig my grave
Both wide and deep
Place a marble stone
At my head and feet
And on my breast
A snow white dove
To tell this world
That I died for love

Oh lordy Lord
Oh lordy me
Oh Lord, oh Lord
Oh lordy me

She went upstairs
For to make her bed
And not one word
To her mother said
Her mother she
Went upstairs, too
Saying, ""Daughter, oh daughter
What troubles you?""
""Oh, mama dear
I cannot tell
That railroad boy
That I loved so well
He courted me
My life away
And now with me
He will not stay""
You might also like
Oh lordy Lord
Oh lordy me
Oh Lord, oh Lord
Oh lordy me

Her father he
Came home from work
Saying, ""Where's my daughter?
She seemed so hurt""
He went upstairs
For to give her hope
And he found her hanging
By a rope

Oh lordy Lord
Oh lordy me
Oh Lord, oh Lord
Oh lordy me

He got his knife
For to cut her down
And in her bosom
These words he found
Go dig my grave
Both wide and deep
Place a marble stone
At my head and feet
And on my breast
A snow white dove
To tell this world
That I died for love
Oh lordy Lord
Oh lordy me
Oh Lord, oh Lord
Oh lordy me2Embed",2023
Bad Bunny,9123229,WHERE SHE GOES,https://genius.com/Bad-bunny-where-she-goes-lyrics,"35 ContributorsTranslationsEnglishDeutschPortuguêsWHERE SHE GOES Lyrics

Baby, dime la verdad
Si te olvidaste de mí
Yo sé que fue una noche na' má'
Que no se vuelve a repetir
Tal ve' en ti quise encontrar
Lo que en otra perdí
Tu orgullo no me quiere hablar
Entonce' vamo' a competir, a ver, ey

No me gusta perder (Ey), dime qué vamo' a hacer
Me paso mirando el cel (Ah), wow, no puede ser (No, no)
Aunque me tarde un poco, juro que vo'a responder
Quisiera volverte a ver
Quisiera volverte a ver encima de mí brincando, uh, uh, uh
Lo rica que te ves chingando, uh, uh, uh (Ey, ey)
No sé qué estamo' esperando (Dime)
El orgullo nos está ganando, ey

Baby, dime la verdad
Si te olvidaste de mí
Yo sé que fue una noche na' má'
Que no se vuelve a repetir
Tal ve' en ti quise encontrar, ey
Lo que en otra perdí
Tu orgullo no me quiere hablar
Entonce' vamo' a competir, a ver, ey
You might also like
Uh, desde que nos vimo' pienso en cómo nos comimo', ey
Después dividimo', cada cual por su camino
En la alfombra aún están las mancha' de vino
¿Dónde está ese totito? Que lleva tiempo perdido
Si te digo que me gusta', que estás buena, no lo tome' por cumplido
Es que yo soy un bellaco, es que yo soy un atrevido, ey
Y hace tiempo que quiero chingar contigo
Mami, te vo'a dar hasta que te duela la popola como a Glou (Glou)
Me gusta tu flow (Flow)
Tranquilita tú siempre te roba' el show (Ey)
Una perversa, le vo'a dar dembow (Mami)
Si se pone en cuatro, I go where she goes (Ey, ey, ey)
So, mami, dime a ver (Ey, ey)
I wanna feel that pussy again (Ey, ey)
Tú tiene' piquete y yo también (Yo también)
Por poco pierdo y te envío un DM, ey

Pa' decirte la verdad
Que no me he olvida'o de ti
Yo sé que fue una noche na' má'
Que no se vuelve a repetir
Tal vez en ti quise encontrar
Lo que en otra perdí
Tu orgullo no me quiere hablar
Entonce' vamo' a competir, a ver, ey
5Embed",2023
Corinne Bailey Rae,9249877,New York Transit Queen,https://genius.com/Corinne-bailey-rae-new-york-transit-queen-lyrics,"4 ContributorsNew York Transit Queen Lyrics
New York transit queen
New York transit queen
New York transit queen
Little over seventeen
New York transit queen
New York transit queen
New York transit queen
Little over seventeen
New York transit queen
New York transit queen
Beauty is in her possession
And she rides, rides, rides

She takes the 9 to the 5
On the New York subway line
She gets her rides for free
Meet her at the Battery, aah
More, more, more, yeah
Ah, ah, ah, ah

(New York transit queen) She is my heroine
(New York transit queen) Little over seventeen
(New York transit queen) She gets her rides for free
(New York transit queen) And she rides, rides, rides
(New York transit queen) She is my heroine
(New York transit queen) Little over seventeen
(New York transit queen) She gets her rides for free
(New York transit queen)You might also likeEmbed",2023
Everything But The Girl,8712774,Nothing Left To Lose,https://genius.com/Everything-but-the-girl-nothing-left-to-lose-lyrics,"8 ContributorsTranslationsEspañolNothing Left To Lose Lyrics
I need a thicker skin
This pain keeps getting in
Tell me what to do
'Cause I've always listened to you

And I'm here at your door
And I've been here before
Tell me what to do
'Cause nothing works without you, oh

I know the hour is late
And I know you'll make me wait
I can sit outside
I set fire to my pride

What is left to lose?
Nothing left to lose
What is left to lose?
Nothing left to lose, no

I need a thicker skin
This pain keeps getting in
Tell me what to do
I've always listened to you
You might also like
What is left to losе?
Nothing left to lose
What is left to losе?
Nothing left to lose

Kiss me while the world decays
Kiss me while the music plays
Kiss me while the world decays
Kiss me while the music plays
Kiss me while the world decays
Kiss me while the music plays
Kiss me while the world decays
Kiss me while the music plays

Nothing left to lose
What is left to lose?
Nothing left to lose1Embed",2023
Ragana,9628266,Desolation’s Flower,https://genius.com/Ragana-desolations-flower-lyrics,"2 ContributorsDesolation’s Flower LyricsWhen hell was all around
They found
Desolation's flower
When hell was all around
They found
Desolation’s flower
Unending holy bloom that cannot be denied
We hold eternity, they cannot make us die
The ones who came before when hell was all around
Holy are their names who found desolation's flower
Unending holy bloom that cannot be denied
We hold eternity, they cannot make us die
Thе ones who came beforе when hell was all around
They found the hidden world, they found desolation's flower
When fog is on the ground, no lantern lights the mire
I hear them call me in and to my heart’s desire
Holy are the names
Holy are the names
Holy are the names
Holy are the names
Holy are the names
Holy are the names
Holy are the names
Holy are the namesYou might also likeEmbed",2023
