artist,song_id,title,url,lyrics,Lyrics_Processed,Sentiment of lyrics
Shaboozey,10109093,A Bar Song (Tipsy),https://genius.com/Shaboozey-a-bar-song-tipsy-lyrics,"48 ContributorsTranslationsEspañolDeutschFrançaisУкраїнськаNorsk (bokmål / riksmål)A Bar Song (Tipsy) Lyrics
My baby want a Birkin, she's been tellin' me all night long
Gasoline and groceries, the list goes on and on
This nine-to-five ain't workin', why the hell do I work so hard?
I can't worry 'bout my problems, I can't take 'em when I'm gone, uh

One, here comes the two to the three to the four
Tell 'em ""Bring another round,"" we need plenty more
Two-steppin' on the table, she don't need a dance floor
Oh my, good Lord

Someone pour me up a double shot of whiskey
They know me and Jack Daniеl's got a history
There's a party downtown near 5th Street
Evеrybody at the bar gettin' tipsy

Everybody at the bar gettin' tipsy
Everybody at the bar gettin' tipsy

I've been Boozey since I left
I ain't changin' for a check
Tell my ma I ain't forget (Oh Lord), I
Woke up drunk at 10 a.m.​
We gon' do this shit again
Tell your girl to bring a friend, oh Lord
You might also like
One, here comes the two to the three to the four
Tell 'em ""Bring another round,"" we need plenty more
Two-steppin' on the table, she don't need a dance floor
Oh my, good Lord

Someone pour me up a double shot of whiskey (Double shot of whiskey)
They know me and Jack Daniel's got a history (We go way back)
There's a party downtown near 5th Street
Everybody at the bar gettin' tipsy

Everybody at the bar gettin' tipsy (At the bar gettin' tipsy)
Everybody at the bar gettin' tipsy

One, here comes the two to the three to the four
When it's last call and they kick us out the door
It's gettin' kind of late, but the ladies want some more
Oh my, good Lord (Tell 'em drinks on me)

Someone pour me up a double shot of whiskey (Double shot of whiskey)
They know me and Jack Daniel's got a history (Way back)
There's a party downtown near 5th Street (Come on)
Everybody at the bar gettin' tipsy (Woo-ooh)
Someone pour me up a double shot of whiskey (Double shot of whiskey)
They know me and Jack Daniel's got a history (It's Jack D)
At the bottom of a bottle, don't miss me (Baby, don't miss me)
Everybody at the bar gettin' tipsy (At the bar gettin' tipsy)
Everybody at the bar gettin' tipsy
Everybody at the bar gettin' tipsy

That's fuckin' messed up, bro, they kicked me out the bar7Embed",baby want birkin shes tellin night long gasoline groceries list goes ninetofive aint workin hell work hard cant worry bout problems cant take em im gone uh one comes two three four tell em bring another round need plenty twosteppin table dont need dance floor oh good lord someone pour double shot whiskey know jack daniеls got history theres party downtown near th street evеrybody bar gettin tipsy everybody bar gettin tipsy everybody bar gettin tipsy ive boozey since left aint changin check tell aint forget oh lord woke drunk gon shit tell girl bring friend oh lord might also like one comes two three four tell em bring another round need plenty twosteppin table dont need dance floor oh good lord someone pour double shot whiskey double shot whiskey know jack daniels got history go way back theres party downtown near th street everybody bar gettin tipsy everybody bar gettin tipsy bar gettin tipsy everybody bar gettin tipsy one comes two three four last call kick us door gettin kind late ladies want oh good lord tell em drinks someone pour double shot whiskey double shot whiskey know jack daniels got history way back theres party downtown near th street come everybody bar gettin tipsy wooooh someone pour double shot whiskey double shot whiskey know jack daniels got history jack bottom bottle dont miss baby dont miss everybody bar gettin tipsy bar gettin tipsy everybody bar gettin tipsy everybody bar gettin tipsy thats fuckin messed bro kicked bar,"{'neg': 0.035, 'neu': 0.817, 'pos': 0.148, 'compound': 0.979}"
Billie Eilish,10257626,BIRDS OF A FEATHER,https://genius.com/Billie-eilish-birds-of-a-feather-lyrics,"157 ContributorsTranslationsPortuguêsالعربيةHebrewEspañolTürkçeΕλληνικάDeutschItalianoPolskiBahasa IndonesiaFrançaisРусскийTiếng ViệtNorsk (bokmål / riksmål)ShqipCatalàไทย / Phasa ThaiBIRDS OF A FEATHER Lyrics

I want you to stay
'Til I'm in the grave
'Til I rot away, dead and buried
'Til I'm in the casket you carry
If you go, I'm goin' too, uh
'Cause it was always you (Alright)
And if I'm turnin' blue, please don't save me
Nothin' left to lose without my baby

Birds of a feather, we should stick together, I know
I said I'd never think I wasn't better alone
Can't change the weather, might not be forever
But if it's forever, it's even better

And I don't know what I'm cryin' for
I don't think I could love you more
It might not be long, but baby, I

I'll love you 'til the day that I die
'Til the day that I die
'Til the light leaves my eyes
'Til the day that I die
See Billie Eilish LiveGet tickets as low as $133You might also like
I want you to see, hm
How you look to me, hm
You wouldn't believe if I told ya
You would keep the compliments I throw ya
But you're so full of shit, uh
Tell me it's a bit, oh
Say you don't see it, your mind's polluted
Say you wanna quit, don't be stupid

And I don't know what I'm cryin' for
I don't think I could love you more
Might not be long, but baby, I
Don't wanna say goodbye

Birds of a feather, we should stick together, I know ('Til the day that I die)
I said I'd never think I wasn't better alone ('Til the light leaves my eyes)
Can't change the weather, might not be forever ('Til the day that I die)
But if it's forever, it's even better

I knew you in another life
You had that same look in your eyes
I love you, don't act so surprised22Embed",want stay til im grave til rot away dead buried til im casket carry go im goin uh cause always alright im turnin blue please dont save nothin left lose without baby birds feather stick together know said id never think wasnt better alone cant change weather might forever forever even better dont know im cryin dont think could love might long baby ill love til day die til day die til light leaves eyes til day die see billie eilish liveget tickets low might also like want see hm look hm wouldnt believe told ya would keep compliments throw ya youre full shit uh tell bit oh say dont see minds polluted say wanna quit dont stupid dont know im cryin dont think could love might long baby dont wanna say goodbye birds feather stick together know til day die said id never think wasnt better alone til light leaves eyes cant change weather might forever til day die forever even better knew another life look eyes love dont act surprised,"{'neg': 0.246, 'neu': 0.626, 'pos': 0.129, 'compound': -0.9865}"
Sabrina Carpenter,10257779,Espresso,https://genius.com/Sabrina-carpenter-espresso-lyrics,"108 ContributorsTranslationsСрпскиNorsk (bokmål / riksmål)TürkçePolskiالعربيةFrançaisItalianoDeutschPortuguêsEspañolBahasa Indonesiaไทย / Phasa ThaiTiếng ViệtSlovenčinaБеларускаяРусскийУкраїнськаΕλληνικάCatalà日本語МакедонскиEspresso Lyrics
Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know
That's that me espresso
Move it up, down, left, right, oh
Switch it up like Nintendo
Say you can't sleep, baby, I know
That's that me espresso

I can't relate to desperation
My give-a-fucks are on vacation
And I got this one boy and he won't stop calling
When they act this way, I know I got 'em

(Mm) Too bad your ex don't do it for ya
(Mm) Walked in and dream-came-trued it for ya
(Mm) Soft skin and I perfumed it for ya
(Yes) I know I Mountain Dew it for ya
(Yes) That morning coffee, brewed it for ya
(Yes) One touch and I brand-newed it for ya (Ooh)

And now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know
That's that me espresso
Move it up, down, left, right, oh
Switch it up like Nintendo
Say you can't sleep, baby, I know
That's that me espresso
See Sabrina Carpenter LiveGet tickets as low as $90You might also like
Holy shit
Is it that sweet? I guess so (Mm)

I'm working late 'cause I'm a singer
Oh, he looks so cute wrapped 'round my finger
My twisted humor make him laugh so often
My honeybee, come and get this pollen

(Mm) Too bad your ex don't do it for ya
(Mm) Walked in and dream-came-trued it for ya
(Mm) Soft skin and I perfumed it for ya (Ayy, ayy, oh)
(Yes) I know I Mountain Dew it for ya
(Yes) That morning coffee, brewed it for ya
(Yes) One touch and I brand-newed it for ya (Stupid)

Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know
That's that me espresso
Move it up, down, left, right, oh
Switch it up like Nintendo
Say you can't sleep, baby, I know
That's that me espresso (Yes)
Thinkin' 'bout me every night, oh
Is it that sweet? I guess so (Yes)
Say you can't sleep, baby, I know
That's that me espresso (Yes)
Move it up, down, left, right, oh (Move it up, down, left, right, oh)
Switch it up like Nintendo (Yes)
Say you can't sleep, baby, I know
That's that me espresso
Is it that sweet? I guess so
Mm, that's that me espresso28Embed",hes thinkin bout every night oh sweet guess say cant sleep baby know thats espresso move left right oh switch like nintendo say cant sleep baby know thats espresso cant relate desperation giveafucks vacation got one boy wont stop calling act way know got em mm bad ex dont ya mm walked dreamcametrued ya mm soft skin perfumed ya yes know mountain dew ya yes morning coffee brewed ya yes one touch brandnewed ya ooh hes thinkin bout every night oh sweet guess say cant sleep baby know thats espresso move left right oh switch like nintendo say cant sleep baby know thats espresso see sabrina carpenter liveget tickets low might also like holy shit sweet guess mm im working late cause im singer oh looks cute wrapped round finger twisted humor make laugh often honeybee come get pollen mm bad ex dont ya mm walked dreamcametrued ya mm soft skin perfumed ya ayy ayy oh yes know mountain dew ya yes morning coffee brewed ya yes one touch brandnewed ya stupid hes thinkin bout every night oh sweet guess say cant sleep baby know thats espresso move left right oh switch like nintendo say cant sleep baby know thats espresso yes thinkin bout every night oh sweet guess yes say cant sleep baby know thats espresso yes move left right oh move left right oh switch like nintendo yes say cant sleep baby know thats espresso sweet guess mm thats espresso,"{'neg': 0.054, 'neu': 0.709, 'pos': 0.237, 'compound': 0.9934}"
Lady Gaga & Bruno Mars,10766684,Die With A Smile,https://genius.com/Lady-gaga-and-bruno-mars-die-with-a-smile-lyrics,"129 ContributorsTranslationsTürkçeEspañolPortuguêsDeutschFrançaisItalianoالعربيةΕλληνικάTiếng ViệtBahasa IndonesiaفارسیNederlandsไทย / Phasa ThaiDie With A Smile Lyrics
(Ooh, ooh)

I, I just woke up from a dream
Where you and I had to say goodbye
And I don't know what it all means
But since I survived, I realized

Wherever you go, that's where I'll follow
Nobody's promised tomorrow
So I'ma love you every night like it's the last night
Like it's the last night

If the world was ending
I'd wanna be next to you
If the party was over
And our time on Earth was through
I'd wanna hold you just for a while
And die with a smile
If the world was ending
I'd wanna be next to you

(Ooh, ooh)
You might also like
Ooh, lost, lost in the words that we scream
I don't even wanna do this anymore
'Cause you already know what you mean to me
And our love's the only war worth fighting for

Wherever you go, that's where I'll follow
Nobody's promised tomorrow
So I'ma love you every night like it's the last night
Like it's the last night

If the world was ending
I'd wanna be next to you
If the party was over
And our time on Earth was through
I'd wanna hold you just for a while
And die with a smile
If the world was ending
I'd wanna be next to you

Right next to you
Next to you
Right next to you
Oh-oh
If the world was ending
I'd wanna be next to you
If the party was over
And our time on Earth was through
I'd wanna hold you just for a while
And die with a smile
If the world was ending
I'd wanna be next to you
If the world was ending
I'd wanna be next to you

(Ooh, ooh)
I'd wanna be next to you21Embed",ooh ooh woke dream say goodbye dont know means since survived realized wherever go thats ill follow nobodys promised tomorrow ima love every night like last night like last night world ending id wanna next party time earth id wanna hold die smile world ending id wanna next ooh ooh might also like ooh lost lost words scream dont even wanna anymore cause already know mean loves war worth fighting wherever go thats ill follow nobodys promised tomorrow ima love every night like last night like last night world ending id wanna next party time earth id wanna hold die smile world ending id wanna next right next next right next ohoh world ending id wanna next party time earth id wanna hold die smile world ending id wanna next world ending id wanna next ooh ooh id wanna next,"{'neg': 0.159, 'neu': 0.571, 'pos': 0.27, 'compound': 0.9545}"
Post Malone,10187047,I Had Some Help,https://genius.com/Post-malone-i-had-some-help-lyrics,"59 ContributorsTranslationsPortuguêsDeutschNorsk (bokmål / riksmål)EspañolPolskiItalianoI Had Some Help Lyrics
You got a lotta nerve, don't you, baby?
I only hit the curb 'cause you made me
You're tellin' all your friends that I'm crazy
Like I'm the only one
Why'd you throw them stones if you
Had a wild hair of your own or two?
Livin' in your big glass house with a view
I thought you knew

I had some help
It ain't like I can make this kinda mess all by myself
Don't act like you ain't help me pull that bottle off the shelf
Been deep in every weekend if you couldn't tell
They say, ""Teamwork makes the dream work""
Hell, I had some help (Help)

(Help)

You thought I'd take the blame for us a-crumbling
Go 'round like you ain't guilty of somethin'
Already lost the game that you been runnin'
Guess it's catchin' up to you, huh
You think that you're so innocent
After all the shit you did
I ain't an angel, you ain't heaven-sent
Can't wash our hands of this
See Post Malone LiveGet tickets as low as $78You might also like
I had some help
It ain't like I can make this kinda mess all by myself
Don't act like you ain't help me pull that bottle off the shelf
Been deep in every weekend if you couldn't tell
They say, ""Teamwork makes the dream work""
Hell, I had some help (Help)
(Help)
(Help)
(Help)

It takes two to break a heart in two, ooh
Baby, you blame me and, baby, I blame you
Aw, if that ain't the truth (Oh)

I had some help
It ain't like I can make this kinda mess all by myself
Don't act like you ain't help me pull that bottle off the shelf
Been deep in every weekend if you couldn't tell
They say, ""Teamwork makes the dream work""
Hell, I had some help (Help)
(Help)
(Help)
(Help)8Embed",got lotta nerve dont baby hit curb cause made youre tellin friends im crazy like im one whyd throw stones wild hair two livin big glass house view thought knew help aint like make kinda mess dont act like aint help pull bottle shelf deep every weekend couldnt tell say teamwork makes dream work hell help help help thought id take blame us acrumbling go round like aint guilty somethin already lost game runnin guess catchin huh think youre innocent shit aint angel aint heavensent cant wash hands see post malone liveget tickets low might also like help aint like make kinda mess dont act like aint help pull bottle shelf deep every weekend couldnt tell say teamwork makes dream work hell help help help help help takes two break heart two ooh baby blame baby blame aw aint truth oh help aint like make kinda mess dont act like aint help pull bottle shelf deep every weekend couldnt tell say teamwork makes dream work hell help help help help help,"{'neg': 0.16, 'neu': 0.491, 'pos': 0.35, 'compound': 0.9903}"
Teddy Swims,9262512,Lose Control,https://genius.com/Teddy-swims-lose-control-lyrics,"31 ContributorsTranslationsEspañolDeutschУкраїнськаNorsk (bokmål / riksmål)FrançaisLose Control Lyrics
Something's got a hold of me lately
No, I don’t know myself anymore
Feels like the walls are all closin' in
And the devil's knockin’ at my door, woah
Out of my mind, how many times did I tell you
I'm no good at bein' alone?
Yeah, it's taken a toll on me, tryin' my best to keep
From tearin' the skin off my bones, don't you know

I lose control
When you're not next to me
I’m fallin’ apart right in front of you, can't you see?
I lose control
When you’re not next to me, mhm
Yeah, you're breakin' my heart, baby
You make a mess of me

Problematic
The problem is I want your body like a fiend, like a bad habit
Bad habits hard to break when I'm with you
Yeah, I know I can do it on my own
But I want that real full-moon black magic and it takes two
Problematic
The problem is when I’m with you I'm an addict
And I need some relief, my skin in your teeth
Can't see the forest through the trees
Got me down on my knees, darlin', please, oh
See Teddy Swims LiveGet tickets as low as $48You might also like
I lose control
When you're not next to me
I'm fallin' apart right in front of you, can't you see?
I lose control
When you're not next to me (Mm-hmm)
Yeah, you're breakin' my heart, baby
You make a mess of me, yeah


I lose control
When you're not here with me, mm
I'm fallin' apart right in front of you, can't you see?
I lose control
When you're not here with me, mhm
Yeah, you're breakin' my heart, baby
You make a mess of meEmbed",somethings got hold lately know anymore feels like walls closin devils knockin door woah mind many times tell im good bein alone yeah taken toll tryin best keep tearin skin bones dont know lose control youre next fallin apart right front cant see lose control next mhm yeah youre breakin heart baby make mess problematic problem want body like fiend like bad habit bad habits hard break im yeah know want real fullmoon black magic takes two problematic problem im addict need relief skin teeth cant see forest trees got knees darlin please oh see teddy swims liveget tickets low might also like lose control youre next im fallin apart right front cant see lose control youre next mmhmm yeah youre breakin heart baby make mess yeah lose control youre mm im fallin apart right front cant see lose control youre mhm yeah youre breakin heart baby make mess,"{'neg': 0.174, 'neu': 0.568, 'pos': 0.258, 'compound': 0.899}"
Chappell Roan,10090037,"Good Luck, Babe!",https://genius.com/Chappell-roan-good-luck-babe-lyrics,"101 ContributorsTranslationsBahasa IndonesiaPortuguêsDeutschEspañolFrançaisTürkçeHebrewItalianoDanskCatalàTiếng ViệtPolskiGood Luck, Babe! Lyrics
It's fine, it's cool
You can say that we are nothing, but you know the truth
And guess I'm the fool
With her arms out like an angel through the car sunroof

I don't wanna call it off
But you don't wanna call it love
You only wanna be the one that I call ""baby""

You can kiss a hundred boys in bars
Shoot another shot, try to stop the feeling
You can say it's just the way you are
Make a new excuse, another stupid reason
Good luck, babe (Well, good luck)
Well, good luck, babe (Well, good luck)
You'd have to stop the world just to stop the feeling
Good luck, babe (Well, good luck)
Well, good luck, babe (Well, good luck)
You'd have to stop the world just to stop the feeling

I'm cliché, who cares?
It's a sexually explicit kind of love affair
And I cry, it's not fair
I just need a little lovin', I just need a little air
You might also like
Think I'm gonna call it off
Even if you call it love
I just wanna love someone who calls me ""baby""

You can kiss a hundred boys in bars
Shoot another shot, try to stop the feeling
You can say it's just the way you are
Make a new excuse, another stupid reason
Good luck, babe (Well, good luck)
Well, good luck, babe (Well, good luck)
You'd have to stop the world just to stop the feeling
Good luck, babe (Well, good luck)
Well, good luck, babe (Well, good luck)
You'd have to stop the world just to stop the feeling

When you wake up next to him in the middle of the night
With your head in your hands, you're nothing more than his wife
And when you think about me all of those years ago
You're standing face to face with ""I told you so""
You know I hate to say it, I told you so
You know I hate to say, but I told you so

You can kiss a hundred boys in bars
Shoot another shot, try to stop the feeling (Well, I told you so)
You can say it's just the way you are
Make a new excuse, another stupid reason
Good luck, babe (Well, good luck)
Well, good luck, babe (Well, good luck)
You'd have to stop the world just to stop the feeling
Good luck, babe (Well, good luck)
Well, good luck, babe (Well, good luck)
You'd have to stop the world just to stop the feeling
You'd have to stop the world just to stop the feeling
You'd have to stop the world just to stop the feeling
You'd have to stop the world just to stop the feeling12Embed",fine cool say nothing know truth guess im fool arms like angel car sunroof dont wanna call dont wanna call love wanna one call baby kiss hundred boys bars shoot another shot try stop feeling say way make new excuse another stupid reason good luck babe well good luck well good luck babe well good luck youd stop world stop feeling good luck babe well good luck well good luck babe well good luck youd stop world stop feeling im cliché cares sexually explicit kind love affair cry fair need little lovin need little air might also like think im gonna call even call love wanna love someone calls baby kiss hundred boys bars shoot another shot try stop feeling say way make new excuse another stupid reason good luck babe well good luck well good luck babe well good luck youd stop world stop feeling good luck babe well good luck well good luck babe well good luck youd stop world stop feeling wake next middle night head hands youre nothing wife think years ago youre standing face face told know hate say told know hate say told kiss hundred boys bars shoot another shot try stop feeling well told say way make new excuse another stupid reason good luck babe well good luck well good luck babe well good luck youd stop world stop feeling good luck babe well good luck well good luck babe well good luck youd stop world stop feeling youd stop world stop feeling youd stop world stop feeling youd stop world stop feeling,"{'neg': 0.204, 'neu': 0.291, 'pos': 0.506, 'compound': 0.9989}"
Sabrina Carpenter,10628610,Taste,https://genius.com/Sabrina-carpenter-taste-lyrics,"84 ContributorsTranslationsTürkçeTiếng ViệtPolskiFrançaisEspañolСрпскиPortuguêsDeutschCatalàРусскийItalianoไทย / Phasa ThaiМакедонски中文УкраїнськаБеларускаяΕλληνικάTaste Lyrics
Oh, I leave quite an impression
Five feet to be exact
You're wonderin' why half his clothes went missin'
My body's where they're at

Now I'm gone, but you're still layin'
Next to me, one degree of separation

I heard you're back together and if that's true
You'll just have to taste me when he's kissin' you
If you want forever, and I bet you do
Just know you'll taste me too

Uh-huh

He pins you down on the carpet
Makes paintings with his tongue (La-la-la-la-la-la-la)
Hе's funny now, all his jokes hit different
Guеss who he learned that from?

Now I'm gone, but you're still layin'
Next to me, one degree of separation
See Sabrina Carpenter LiveGet tickets as low as $90You might also like
I heard you're back together and if that's true
You'll just have to taste me when he's kissin' you
If you want forever, and I bet you do (I bet you do)
Just know you'll taste me too

La-la-la-la-la-la-la

Every time you close your eyes
And feel his lips, you're feelin' mine
And every time you breathe his air
Just know I was already there
You can have him if you like
I've been there, done that once or twice
And singin' 'bout it don't mean I care
Yeah, I know I've been known to share

Well, I heard you're back together and if that's true
You'll just have to taste me when he's kissin' you
If you want forever, and I bet you do (I bet you do)
Just know you'll taste me too

Taste me too, ow (La-la-la-la-la-la-la)
You'll just have to taste me when he's kissin' you
You, no, yeah, ah-ah (La-la-la-la-la-la-la)
You'll just have to taste me when he's kissin' you12Embed",oh leave quite impression five feet exact youre wonderin half clothes went missin bodys theyre im gone youre still layin next one degree separation heard youre back together thats true youll taste hes kissin want forever bet know youll taste uhhuh pins carpet makes paintings tongue lalalalalalala hеs funny jokes hit different guеss learned im gone youre still layin next one degree separation see sabrina carpenter liveget tickets low might also like heard youre back together thats true youll taste hes kissin want forever bet bet know youll taste lalalalalalala every time close eyes feel lips youre feelin mine every time breathe air know already like ive done twice singin bout dont mean care yeah know ive known share well heard youre back together thats true youll taste hes kissin want forever bet bet know youll taste taste ow lalalalalalala youll taste hes kissin yeah ahah lalalalalalala youll taste hes kissin,"{'neg': 0.057, 'neu': 0.776, 'pos': 0.167, 'compound': 0.9431}"
Benson Boone,9782708,Beautiful Things,https://genius.com/Benson-boone-beautiful-things-lyrics,"55 ContributorsTranslationsDeutschPortuguêsEspañolУкраїнськаNorsk (bokmål / riksmål)FrançaisBeautiful Things Lyrics
For a while there, it was rough
But lately, I've been doin' better
Than the last four cold Decembers I recall
And I see my family every month
I found a girl my parents love
She'll come and stay the night, and I think I might have it all
And I thank God every day
For the girl He sent my way
But I know the things He gives me, He can take away
And I hold you every night
And that's a feeling I wanna get used to
But there's no man as terrified as the man who stands to lose you

Oh, I hope I don't losе you
Mm, please stay
I want you, I need you, oh God
Don't take
Thеse beautiful things that I've got

Please stay
I want you, I need you, oh, God
Don't take
These beautiful things that I've got
See Benson Boone LiveGet tickets as low as $70You might also like
Oh, ooh
Please don't take

I found my mind, I'm feelin' sane
It's been a while, but I'm finding my faith
If everything's good and it's great, why do I sit and wait 'til it's gone?
Oh, I'll tell ya, I know I've got enough
I've got peace and I've got love
But I'm up at night thinkin' I just might lose it all

Please stay
I want you, I need you, oh God
Don't take
These beautiful things that I've got

Oh, ooh

Please stay
I want you, I need you, oh God
I need
These beautiful things that I've got9Embed",rough lately ive doin better last four cold decembers recall see family every month found girl parents love shell come stay night think might thank god every day girl sent way know things gives take away hold every night thats feeling wanna get used theres man terrified man stands lose oh hope dont losе mm please stay want need oh god dont take thеse beautiful things ive got please stay want need oh god dont take beautiful things ive got see benson boone liveget tickets low might also like oh ooh please dont take found mind im feelin sane im finding faith everythings good great sit wait til gone oh ill tell ya know ive got enough ive got peace ive got love im night thinkin might lose please stay want need oh god dont take beautiful things ive got oh ooh please stay want need oh god need beautiful things ive got,"{'neg': 0.179, 'neu': 0.579, 'pos': 0.242, 'compound': 0.8752}"
Sabrina Carpenter,10488398,Please Please Please,https://genius.com/Sabrina-carpenter-please-please-please-lyrics,"118 ContributorsTranslationsEspañolСрпскиPortuguêsDeutschTürkçeItalianoPolskiTiếng ViệtBahasa IndonesiaРусскийNorsk (bokmål / riksmål)ไทย / Phasa ThaiEnglishCatalàМакедонскиDansk中文БеларускаяУкраїнськаΕλληνικάPlease Please Please Lyrics
I know I have good judgment, I know I have good taste
It's funny and it's ironic that only I feel that way
I promise 'em that you're different and everyone makes mistakes
But just don't
I heard that you're an actor, so act like a stand-up guy
Whatever devil's inside you, don't let him out tonight
I tell them it's just your culture and everyone rolls their eyes
Yeah, I know
All I'm asking, baby

Please, please, please
Don't prove I'm right
And please, pleasе, please
Don't bring me to tеars when I just did my makeup so nice
Heartbreak is one thing, my ego's another
I beg you, don't embarrass me, motherfucker, oh
Please, please, please (Ah)

Well, I have a fun idea, babe (Uh-huh), maybe just stay inside
I know you're cravin' some fresh air, but the ceiling fan is so nice (It's so nice, right?)
And we could live so happily if no one knows that you're with me
I'm just kidding, but really (Kinda), really, really
See Sabrina Carpenter LiveGet tickets as low as $90You might also like
Please, please, please (Please don't prove I'm right)
Don't prove I'm right
And please, please, please
Don't bring me to tears when I just did my makeup so nice
Heartbreak is one thing (Heartbreak is one thing), my ego's another (Ego's another)
I beg you, don't embarrass me, motherfucker, oh
Please, please, please (Ah)

If you wanna go and be stupid
Don't do it in front of me
If you don't wanna cry to my music
Don't make me hate you prolifically
Please, please, please (Please)
Please, please, please (Please)
Please (Please), please (Please), please
(Ah)13Embed",know good judgment know good taste funny ironic feel way promise em youre different everyone makes mistakes dont heard youre actor act like standup guy whatever devils inside dont let tonight tell culture everyone rolls eyes yeah know im asking baby please please please dont prove im right please pleasе please dont bring tеars makeup nice heartbreak one thing egos another beg dont embarrass motherfucker oh please please please ah well fun idea babe uhhuh maybe stay inside know youre cravin fresh air ceiling fan nice nice right could live happily one knows youre im kidding really kinda really really see sabrina carpenter liveget tickets low might also like please please please please dont prove im right dont prove im right please please please dont bring tears makeup nice heartbreak one thing heartbreak one thing egos another egos another beg dont embarrass motherfucker oh please please please ah wanna go stupid dont front dont wanna cry music dont make hate prolifically please please please please please please please please please please please please please ah,"{'neg': 0.09, 'neu': 0.414, 'pos': 0.496, 'compound': 0.9981}"
