A Bar Song (Tipsy),Shaboozey
Birds Of A Feather,Billie Eilish
Espresso,Sabrina Carpenter
Die With A Smile,Lady Gaga & Bruno Mars
I Had Some Help,Post Malone Featuring Morgan Wallen
Lose Control,Teddy Swims
"Good Luck, Babe!",Chappell Roan
Taste,Sabrina Carpenter
Beautiful Things,Benson Boone
Please Please Please,Sabrina Carpenter
Not Like Us,Kendrick Lamar
Too Sweet,Hozier
Timeless,The Weeknd & Playboi Carti
I Am Not Okay,Jelly Roll
Million Dollar Baby,Tommy Richman
25,Rod Wave
Lies Lies Lies,Morgan Wallen
Hot To Go!,Chappell Roan
"I Love You, I'm Sorry",Gracie Abrams
Miles On It,Marshmello & Kane Brown
Cowgirls,Morgan Wallen Featuring ERNEST
TGIF,GloRilla
Ain't No Love In Oklahoma,Luke Combs
Pink Skies,Zach Bryan
Austin,Dasha
Bed Chem,Sabrina Carpenter
Wildflower,Billie Eilish
Sailor Song,Gigi Perez
The Door,Teddy Swims
Stargazing,Myles Smith
Whatchu Kno About Me,GloRilla & Sexyy Red
Who,Jimin
You Look Like You Love Me,Ella Langley Featuring Riley Green
Kehlani,Jordan Adetunji
Last Lap,Rod Wave
Sympathy Is A Knife,Charli xcx Featuring Ariana Grande
I Can Do It With A Broken Heart,Taylor Swift
Saturn,SZA
Pink Pony Club,Chappell Roan
Pour Me A Drink,Post Malone Featuring Blake Shelton
360,Charli xcx
It's Ok I'm Ok,Tate McRae
High Road,Koe Wetzel & Jessie Murph
Federal Nightmares,Rod Wave
Like That,"Future, Metro Boomin & Kendrick Lamar"
Angel With An Attitude,Rod Wave
Si Antes Te Hubiera Conocido,Karol G
Hollon,GloRilla
Fall Fast In Love,Rod Wave
F**k Fame,Rod Wave Featuring Lil Yachty & Lil Baby
Passport Junkie,Rod Wave
Dancing In The Flames,The Weeknd
Help Me,Real Boston Richey
Never Mind,Rod Wave
Guess,Charli xcx Featuring Billie Eilish
Wind Up Missin' You,Tucker Wetmore
Turtle Race,Rod Wave
Or What?,NLE Choppa & 41
28,Zach Bryan
La Patrulla,Peso Pluma & Neton Vega
Juno,Sabrina Carpenter
Apple,Charli xcx
Apply Pressure,Rod Wave
Thick Of It,KSI Featuring Trippie Redd
I'm Gonna Love You,Cody Johnson & Carrie Underwood
Mamushi,Megan Thee Stallion Featuring Yuki Chiba
Beautiful As You,Thomas Rhett
Dos Dias,Tito Double P & Peso Pluma
Lonely Road,mgk & Jelly Roll
Good Graces,Sabrina Carpenter
Shake Dat Ass (Twerk Song),BossMan Dlow
Diet Pepsi,Addison Rae
Guy For That,Post Malone Featuring Luke Combs
Liar,Jelly Roll
The Best,Rod Wave
Nights Like This,The Kid LAROI
Whiskey Whiskey,Moneybagg Yo Featuring Morgan Wallen
Big Dawgs,Hanumankind X Kalmi
Houdini,Eminem
Think I'm In Love With You,Chris Stapleton
I Never Lie,Zach Top
Even Love,Rod Wave
Prove It,21 Savage & Summer Walker
Red Wine Supernova,Chappell Roan
No One Noticed,The Marias
Am I Okay?,Megan Moroney
Lost In Love,Rod Wave & Be Charlotte
Residuals,Chris Brown
Change Me,BigXthaPlug
How I Look,GloRilla & Megan Thee Stallion
El Lokeron,Tito Double P
I Luv Her,GloRilla & T-Pain
Waited 2 Late,Rod Wave
Mike,Rod Wave
D.A.R.E.,Rod Wave
Scared Love,Rod Wave
Lil Demon,Future
Mantra,Jennie
Leave Me Alone,BigXthaPlug
Karma,Rod Wave
