,Song,Artist,Last_week,Peak_position,WeeksonChart
0,A Bar Song (Tipsy),Shaboozey,1,1,26
1,Birds Of A Feather,Billie Eilish,2,2,21
2,I Had Some Help,Post Malone Featuring Morgan Wallen,4,1,22
3,Espresso,Sabrina Carpenter,5,3,26
4,Die With A Smile,Lady Gaga & Bruno Mars,6,3,8
5,"Good Luck, Babe!",Chappell Roan,7,4,27
6,Taste,Sabrina Carpenter,9,2,7
7,Lose Control,Teddy Swims,8,1,61
8,Please Please Please,Sabrina Carpenter,10,1,18
9,Beautiful Things,Benson Boone,12,2,38
10,Not Like Us,Kendrick Lamar,11,1,23
11,Timeless,The Weeknd & Playboi Carti,3,3,2
12,Too Sweet,Hozier,13,1,29
13,Million Dollar Baby,Tommy Richman,14,2,24
14,Hot To Go!,Chappell Roan,15,15,19
15,Lies Lies Lies,Morgan Wallen,16,7,14
16,I Am Not Okay,Jelly Roll,18,17,17
17,Miles On It,Marshmello & Kane Brown,19,15,23
18,Ain't No Love In Oklahoma,Luke Combs,17,13,21
19,Cowgirls,Morgan Wallen Featuring ERNEST,22,12,43
20,Bed Chem,Sabrina Carpenter,21,14,7
21,Austin,Dasha,20,18,31
22,Pink Skies,Zach Bryan,23,6,20
23,The Door,Teddy Swims,24,24,19
24,Who,Jimin,26,12,12
25,Kehlani,Jordan Adetunji,25,24,16
26,Stargazing,Myles Smith,34,27,22
27,Wildflower,Billie Eilish,35,17,21
28,Pour Me A Drink,Post Malone Featuring Blake Shelton,29,12,16
29,You Look Like You Love Me,Ella Langley Featuring Riley Green,33,30,16
30,"I Love You, I'm Sorry",Gracie Abrams,53,31,10
31,TGIF,GloRilla,28,28,16
32,Sailor Song,Gigi Perez,45,33,8
33,I Can Do It With A Broken Heart,Taylor Swift,27,3,25
34,Saturn,SZA,32,6,33
35,It's Ok I'm Ok,Tate McRae,30,20,4
36,Pink Pony Club,Chappell Roan,31,26,17
37,Like That,"Future, Metro Boomin & Kendrick Lamar",36,1,29
38,Si Antes Te Hubiera Conocido,Karol G,38,32,16
39,High Road,Koe Wetzel & Jessie Murph,43,22,18
40,Dancing In The Flames,The Weeknd,37,14,4
41,28,Zach Bryan,40,14,14
42,Wind Up Missin' You,Tucker Wetmore,64,43,28
43,Good Graces,Sabrina Carpenter,41,15,7
44,Juno,Sabrina Carpenter,47,22,7
45,Slow It Down,Benson Boone,46,32,29
46,La Patrulla,Peso Pluma & Neton Vega,48,47,12
47,Mamushi,Megan Thee Stallion Featuring Yuki Chiba,54,36,15
48,"Love You, Miss You, Mean It",Luke Bryan,39,39,10
49,360,Charli xcx,51,41,18
50,Dos Dias,Tito Double P & Peso Pluma,61,51,5
51,Or What?,NLE Choppa & 41,91,52,2
52,Help Me,Real Boston Richey,56,53,12
53,Diet Pepsi,Addison Rae,70,54,5
54,Big Dawgs,Hanumankind X Kalmi,50,23,11
55,Beautiful As You,Thomas Rhett,52,52,18
56,Whiskey Whiskey,Moneybagg Yo Featuring Morgan Wallen,57,21,17
57,Houdini,Eminem,59,2,19
58,Guess,Charli xcx Featuring Billie Eilish,60,12,10
59,Lonely Road,mgk & Jelly Roll,67,33,11
60,Guy For That,Post Malone Featuring Luke Combs,44,17,11
61,Nights Like This,The Kid LAROI,63,47,16
62,Am I Okay?,Megan Moroney,77,63,9
63,Lil Demon,Future,49,25,3
64,I'm Gonna Love You,Cody Johnson & Carrie Underwood,42,42,2
65,Shake Dat Ass (Twerk Song),BossMan Dlow,75,66,5
66,Red Wine Supernova,Chappell Roan,66,41,19
67,I Never Lie,Zach Top,78,68,3
68,Think I'm In Love With You,Chris Stapleton,71,49,23
69,Burning Down,Alex Warren,69,69,3
70,Prove It,21 Savage & Summer Walker,81,43,14
71,Nel,Fuerza Regida,76,70,11
72,The Emptiness Machine,Linkin Park,58,21,5
73,Too Fast,Future,65,23,3
74,Residuals,Chris Brown,85,75,6
75,Casual,Chappell Roan,74,59,16
76,El Lokeron,Tito Double P,92,77,2
77,Belong Together,Mark Ambor,86,74,23
78,Plutoski,Future,62,29,3
79,Chihiro,Billie Eilish,80,12,20
80,No One Noticed,The Marias,90,81,2
81,Teflon Don,Future,55,21,3
82,Apple,Charli xcx,84,51,12
83,Thick Of It,KSI Featuring Trippie Redd,-,84,1
84,Hollon,GloRilla,95,85,3
85,Liar,Jelly Roll,93,86,3
86,We Pray,"Coldplay Featuring Little Simz, Burna Boy, Elyanna & TINI",-,87,1
87,Fix What You Didn't Break,Nate Smith,-,88,1
88,Coincidence,Sabrina Carpenter,83,26,7
89,Close To You,Gracie Abrams,99,49,10
90,Sharpest Tool,Sabrina Carpenter,87,21,7
91,Chevrolet,Dustin Lynch Featuring Jelly Roll,94,50,17
92,Worst Way,Riley Green,-,93,2
93,Ski,Future,73,26,3
94,New Drop,Don Toliver,-,95,1
95,This Is My Dirt,Justin Moore,98,96,2
96,Fall Fast In Love,Rod Wave,68,68,2
97,Holy Smokes,Bailey Zimmerman,-,54,6
98,All Red,Playboi Carti,72,15,4
99,Passport Junkie,Rod Wave,97,61,4
