artist,song_id,title,url,lyrics,year,Lyrics_Processed,Sentiment of lyrics,compound_sentiment,negative,neutral,positive,compound,Languages,word_count,word_count_unique,lyrical_density,happy,love,sadness,anger,foul
Japanese Breakfast,6543948,Be Sweet,https://genius.com/Japanese-breakfast-be-sweet-lyrics,"33 ContributorsBe Sweet Lyrics
Tell the men I'm coming
Tell them count the days
I can feel the night passing by like a mistake waiting for me
Caught up in my feelings
Overthink the truth
Fantasize you've left me behind and I'm turned back running for you

Make it up to me, you know it's better
Make it up to me, you know it's better

Be sweet to me, baby
I wanna believe in you, I wanna believe
(Be sweet)
Be sweet to me, baby
I wanna believe in you, I wanna believе in something

So come and get your woman (Comе and get your woman)
Pacify her rage (Pacify her rage)
Take the time to undo your lies, make it up once more with feeling
Recognize your mistakes and I'll let you back in
Realize not too late, loved you always
You might also like
Make it up to me, you know it's better
Make it up to me, you know it's better

Be sweet to me, baby
I wanna believe in you, I wanna believe
(Be sweet)
Be sweet to me, baby
I wanna believe in you, I wanna believe in something
Be sweet to me, baby
I wanna believe in you, I wanna believe
(Be sweet)
Be sweet to me, baby
I wanna believe in you, I wanna believe in something5Embed",2021,tell men im coming tell count days feel night passing like mistake waiting caught feelings overthink truth fantasize youve left behind im turned back running make know better make know better sweet baby wanna believe wanna believe sweet sweet baby wanna believe wanna believе something come get woman comе get woman pacify rage pacify rage take time undo lies make feeling recognize mistakes ill let back realize late loved always might also like make know better make know better sweet baby wanna believe wanna believe sweet sweet baby wanna believe wanna believe something sweet baby wanna believe wanna believe sweet sweet baby wanna believe wanna believe something,1,positive,0.116,0.546,0.337,0.9843, en,107,53,49.532710280373834,1,1,0,2,0
Lana Del Rey,4730849,The greatest,https://genius.com/Lana-del-rey-the-greatest-lyrics,"165 ContributorsTranslationsEspañolFrançaisΕλληνικάRomânăУкраїнськаItalianoPolskiСрпскиTürkçeLatinaDeutschThe greatest Lyrics
I miss Long Beach and I miss you, babe
I miss dancing with you the most of all
I miss the bar where the Beach Boys would go
Dennis' last stop before Kokomo

Those nights were on fire
We couldn't get higher
We didn't know that we had it all
But nobody warns you before the fall

And I'm wasted
Don't leave‚ I just need a wake-up call
I'm facing the greatest
The greatest loss of them all
The culture is lit and I had a ball
I guess I'm signing off after all


I miss New York and I miss the music
Me and my friends‚ we miss rock 'n' roll
I want shit to feel just like it used to
When‚ baby, I was doing nothin' the most of all
See Lana Del Rey LiveGet tickets as low as $736You might also like
The culture is lit, and if this is it‚ I had a ball
I guess that I'm burned out after all

I'm wasted
Don't leave, I just need a wake-up call
I'm facing the greatest
The greatest loss of them all
The culture is lit and I had a ball
I guess that I'm burned out after all

If this is it, I'm signing off
Miss doing nothin' the most of all
Hawaii just missed that fireball
L.A. is in flames‚ it's getting hot
Kanye West is blond and gone
""Life on Mars?"" ain't just a song
Oh, the live stream's almost on70Embed",2019,miss long beach miss babe miss dancing miss bar beach boys would go dennis last stop kokomo nights fire couldnt get higher didnt know nobody warns fall im wasted dont leave need wakeup call im facing greatest greatest loss culture lit ball guess im signing miss new york miss music friends miss rock n roll want shit feel like used baby nothin see lana del rey liveget tickets low might also like culture lit ball guess im burned im wasted dont leave need wakeup call im facing greatest greatest loss culture lit ball guess im burned im signing miss nothin hawaii missed fireball la flames getting hot kanye west blond gone life mars aint song oh live streams almost,0,negative,0.233,0.577,0.191,-0.1301, en,119,81,68.0672268907563,1,1,1,0,1
Dehd,5560811,Loner,https://genius.com/Dehd-loner-lyrics,"10 ContributorsLoner Lyrics
Underwater, I found it
Had to slumber to get in
Head of dreaming, ooh
Huh-huh-huh-huh
Head of dreaming
Head of dreaming, ooh
Huh-huh-huh-huh
Well, I got it, I got it, I got it, I got it
I'm fine, I'm fine, I'm fine, I'm fine
I got it, I got it, I got it, I got it
I'm fine, I'm fine, I'm fine

Run for cover, I've come undone
And when I walk away, I walk alone
Well, you're running and you're running
And you're running and you're running
'Til the running gets hard
Yeah, you're running and you're running
And you're running and you're running
From your cards
Oh!

See Dehd LiveGet tickets as low as $67You might also like
Play it right, boy, play for keeps
I'm the right kind, play for me
I've had enough of each other
Want nothing more than to be a loner
To be a loner, ooh
Huh-huh-huh
To be a loner, ooh
Huh-huh-huh
To be a loner, ooh
Huh-huh-huh
To be a loner, ooh
Huh-huh-huh
To be a loner, ooh
Huh-hmm

Won't stop, won't draw the line
I'm fine, I'm fine, I'm fine, I'm fine
Won't stop, won't draw the line
I'm fine, fine, fine, fine
Even if it means no survive
I'm fine, I'm fine, I'm fine, I'm fine
Won't stop, won't draw the line
I'm fine, fine, fine, fine
Won't stop, won't go outside
Loner, huh-hmm
No, won't stop, won't draw the line
Won't stop, no self-survive
Loner, huh-hmm
Won't stop, won't draw the line
Won't stop, won't1Embed",2020,underwater found slumber get head dreaming ooh huhhuhhuhhuh head dreaming head dreaming ooh huhhuhhuhhuh well got got got got im fine im fine im fine im fine got got got got im fine im fine im fine run cover ive come undone walk away walk alone well youre running youre running youre running youre running til running gets hard yeah youre running youre running youre running youre running cards oh see dehd liveget tickets low might also like play right boy play keeps im right kind play ive enough want nothing loner loner ooh huhhuhhuh loner ooh huhhuhhuh loner ooh huhhuhhuh loner ooh huhhuhhuh loner ooh huhhmm wont stop wont draw line im fine im fine im fine im fine wont stop wont draw line im fine fine fine fine even means survive im fine im fine im fine im fine wont stop wont draw line im fine fine fine fine wont stop wont go outside loner huhhmm wont stop wont draw line wont stop selfsurvive loner huhhmm wont stop wont draw line wont stop wont,1,positive,0.025,0.559,0.416,0.9959, en,176,57,32.38636363636363,0,0,1,0,0
Shannon Lay,6808510,Rare to Wake,https://genius.com/Shannon-lay-rare-to-wake-lyrics,"2 ContributorsRare to Wake LyricsI'll miss the sea
But I'm longing to grow
Without change something
Sleeps inside us
Rare to wake
Rare to wake
Sleep, I must awaken
Have you always been who you are?
Without change something
Sleeps inside us
Rare to wake
Rare to wake
I will miss my home
But I'm longing to grow
I will miss my pain
I have to make way for something better (make way)
Without change something
Sleeps inside us
Rare to wake
Rare to wake
Have you always been who you are?
I will notice where my tracks are laid
I will ask if they serve mе
I will see and agree to receive all I need
You might also likeHavе I always been who I am?
Without change something
Sleeps inside us
Rare to wake
Rare to wake
Have you always been who you are?

Have you always been who you are?Embed",2021,ill miss sea im longing grow without change something sleeps inside us rare wake rare wake sleep must awaken always without change something sleeps inside us rare wake rare wake miss home im longing grow miss pain make way something better make way without change something sleeps inside us rare wake rare wake always notice tracks laid ask serve mе see agree receive need might also likehavе always without change something sleeps inside us rare wake rare wake always always,0,negative,0.146,0.793,0.06,-0.5719, en,80,36,45.0,1,1,1,0,0
Koffee,4252523,Throne,https://genius.com/Koffee-throne-lyrics,"13 ContributorsThrone Lyrics
Woah now, me deh pon di go now
Tell dem watch it inna traffic, Koffee nuh slow down
Inna mi zone, Alto to Baritone
Soon dem a go see seh is a queen deh pon di throne

Me nu waste time with the music
In yuh earz like any q-tip
Used to Facetime with the Blues
'Til Reggae bassline mek me lose it
A nu monopoly
Walshy build the riddim, put da song ya pon it
Now dem all up on me
Say dem badder dan me
So me kill dem and study dem anatomy
Dem nuh understand me
But dem seh dem loving the flow now
When them see me all over the media
And them hear me deh pon Wikipedia
Used to fast, now me all a get speedier
I a born storm, fyah cyah calm
Shotter than a copper, what a Bam Bam
Tell Jenella, Cinderella, John, Tom
Say a prayer, get a choir, ensemble
You might also like
Woah now, me deh pon di go now
Tell dem watch it inna traffic, Koffee nuh slow down
Inna mi zone, Alto to Baritone
Soon dem a go see seh is a queen deh pon di throne

Warning dem
5 Star, seh we warning dem
Ina night, ina morning
Jah cover we like a awning den
March out and we storm in
And one people we forming
‘Cause the disparity alarming
Regarding the place wa we born in, woie
Folks nu waa fi hear a next shot
Rather Koffee tear a next track
Give it to them like a crusade
Tell them we deh pon a new wave
Unnu nuh see nuttin yet tho
Mi come wid di fyah, get low
Lyrics put your very welfare
Pon the death row, pon the wet floor

Woah now, me deh pon di go now
Tell dem watch it inna traffic, Koffee nuh slow down
Inna mi zone, Alto to Baritone
Soon dem a go see seh is a queen deh pon di throne
Check check check, new Day
Better put the Koffee pon yuh checklist
Nobody never did expect this
Now dem watching me, watching me like Netflix
Na leave them ina silence
Dem a wait pon me fi bring the vibes
Jamaican people, leave the violence!
Cyaa read, well read between the lines
Well mi hear seh the gun dem pile a Bay
And dem have dem ina wide array
How them reach Spanish Town and all Mobay
Have them all a spray while a child a play
Tell some police da effort deh na go work
Protect the peace and lowe the dawta skirt
Needlessly display them armor then a drape mi brother
Bwoy drape yuh father shirt

Woah now, me deh pon di go now
Tell dem watch it inna traffic, Koffee nuh slow down
Inna mi zone, Alto to Baritone
Soon dem a go see seh is a queen deh pon di throne1Embed",2019,woah deh pon di go tell dem watch inna traffic koffee nuh slow inna mi zone alto baritone soon dem go see seh queen deh pon di throne nu waste time music yuh earz like qtip used facetime blues til reggae bassline mek lose nu monopoly walshy build riddim put da song ya pon dem say dem badder dan kill dem study dem anatomy dem nuh understand dem seh dem loving flow see media hear deh pon wikipedia used fast get speedier born storm fyah cyah calm shotter copper bam bam tell jenella cinderella john tom say prayer get choir ensemble might also like woah deh pon di go tell dem watch inna traffic koffee nuh slow inna mi zone alto baritone soon dem go see seh queen deh pon di throne warning dem star seh warning dem ina night ina morning jah cover like awning den march storm one people forming cause disparity alarming regarding place wa born woie folks nu waa fi hear next shot rather koffee tear next track give like crusade tell deh pon new wave unnu nuh see nuttin yet tho mi come wid di fyah get low,0,negative,0.087,0.838,0.075,-0.34, en,193,117,60.62176165803109,0,0,0,0,0
4s4ki,7643776,Punish,https://genius.com/4s4ki-punish-lyrics,"1 ContributorPunish Lyricsこんな夜中は嫌い
長いだけの時間を
いかに過ごすか探り
篝火を求めてる
紛らわしにタバコを手に取り
暇を持て余す
これが絶望なら地獄とは何
現状与えられてる punish
最初から全部決まっているようなもんだ
僕なんかいない方が良いんだ
でもさ　しょうがないじゃないか
案外世界は複雑じゃないって
誰かが歌っていたけれどさ
信じてみても良いかな
こんな夜中が怖い
長いだけの寿命を
人生は暇つぶし
篝火を灯してる
こんな夜中は嫌い
長いだけの時間を
いかに過ごすか探り
篝火を求めてるYou might also likeEmbed",2022,こんな夜中は嫌い 長いだけの時間を いかに過ごすか探り 篝火を求めてる 紛らわしにタバコを手に取り 暇を持て余す これが絶望なら地獄とは何 現状与えられてる punish 最初から全部決まっているようなもんだ 僕なんかいない方が良いんだ でもさ しょうがないじゃないか 案外世界は複雑じゃないって 誰かが歌っていたけれどさ 信じてみても良いかな こんな夜中が怖い 長いだけの寿命を 人生は暇つぶし 篝火を灯してる こんな夜中は嫌い 長いだけの時間を いかに過ごすか探り 篝火を求めてるyou might also like,0,negative,0.11,0.809,0.081,-0.2263, ja,27,24,88.88888888888889,0,0,0,0,0
Kara Jackson,8770842,​​dickhead blues,https://genius.com/Kara-jackson-dickhead-blues-lyrics,"9 Contributors​​dickhead blues Lyrics
(Is it recording?) Yup- what up, Kara? Happy birthday, sweet pea. Uh, I know you're probably turnin' up, but just wanted to wish you a happy birthday and talk to you for a minute, but I hope it was a good one, bear-bear. Um, I hope yo- I mean it look like you're showing well. Keep killin' em, smack a white man, I'll talk to you later, peace

Damn, the dickhead blues
When your time becomes somebody else's refuge
Damn, the dickhead blues
Make a vacation outta you
Damn, the dickhead blues
When you are stuck sinking in someone's lagoon
Likе a spoon drowns in a stew
What kind of meal are thеy making of you?

Thinking cupid calls for you
End up gum on someone's shoe
Makes me feel like I don't have a clue

My dilemma is always a dickhead
Who's drunk on the daily news
Like coyotes in culottes
Clawin' for coffee in open-toed shoes
I'm no longer amused by losers
Who find themselves losing me
That's why I choose
You might also like
I'm not as worthless as I once thought
I am pretty top-notch
I am pretty top-notch
I am pretty top-notch
I'm useful

Damn, the dickhead blues
When ur feeling as broke as a bottle of booze
Damn, the dickhead blues
Like a soda straw strangling you

Thinking cupid calls for you
And end up gum on someone's shoe
Makes me feel like I don't have a clue

If I had a heart, if I had a heart
If I had a heart, if I had a heart
I'd know where to start, I'd know where to start
I'd know where to start, I'd know where to start
If I had a heart, if I had a heart
If I had a heart, if I had a heart
I'd know where to start (Start)
I'd know where to start (Start, start)
I'd know where to start (Start)
I'd know where to start (Start, start)
If I had a heart, if I had a heart
If I had a heart, if I had a heart
I'd know where to start (Start)
I'd know where to start (Start, start)
I'd know where to start
If I-
I'd know-
If I-
If I-
Know where
If I-
If I had-
I'm not as worthless as I once thought
I am pretty top-notch
I am pretty top-notch
I am pretty top-notch
I'm useful1Embed",2023,recording yup kara happy birthday sweet pea uh know youre probably turnin wanted wish happy birthday talk minute hope good one bearbear um hope yo mean look like youre showing well keep killin em smack white man ill talk later peace damn dickhead blues time becomes somebody elses refuge damn dickhead blues make vacation outta damn dickhead blues stuck sinking someones lagoon likе spoon drowns stew kind meal thеy making thinking cupid calls end gum someones shoe makes feel like dont clue dilemma always dickhead whos drunk daily news like coyotes culottes clawin coffee opentoed shoes im longer amused losers find losing thats choose might also like im worthless thought pretty topnotch pretty topnotch pretty topnotch im useful damn dickhead blues ur feeling broke bottle booze damn dickhead blues like soda straw strangling thinking cupid calls end gum someones shoe makes feel like dont clue heart heart heart heart id know start id know start id know start id know start heart heart heart heart id know start start id know start start start id know start start id know start start start heart heart heart heart id know start start id know start start start id know start id know know im worthless thought pretty topnotch pretty topnotch pretty topnotch im useful,1,positive,0.206,0.543,0.251,0.8597, en,213,107,50.23474178403756,1,1,0,0,5
Lankum,8784434,Go Dig My Grave,https://genius.com/Lankum-go-dig-my-grave-lyrics,"8 ContributorsGo Dig My Grave Lyrics
Go dig my grave
Both wide and deep
Place a marble stone
At my head and feet
And on my breast
A snow white dove
To tell this world
That I died for love

Oh lordy Lord
Oh lordy me
Oh Lord, oh Lord
Oh lordy me

She went upstairs
For to make her bed
And not one word
To her mother said
Her mother she
Went upstairs, too
Saying, ""Daughter, oh daughter
What troubles you?""
""Oh, mama dear
I cannot tell
That railroad boy
That I loved so well
He courted me
My life away
And now with me
He will not stay""
You might also like
Oh lordy Lord
Oh lordy me
Oh Lord, oh Lord
Oh lordy me

Her father he
Came home from work
Saying, ""Where's my daughter?
She seemed so hurt""
He went upstairs
For to give her hope
And he found her hanging
By a rope

Oh lordy Lord
Oh lordy me
Oh Lord, oh Lord
Oh lordy me

He got his knife
For to cut her down
And in her bosom
These words he found
Go dig my grave
Both wide and deep
Place a marble stone
At my head and feet
And on my breast
A snow white dove
To tell this world
That I died for love
Oh lordy Lord
Oh lordy me
Oh Lord, oh Lord
Oh lordy me2Embed",2023,go dig grave wide deep place marble stone head feet breast snow white dove tell world died love oh lordy lord oh lordy oh lord oh lord oh lordy went upstairs make bed one word mother said mother went upstairs saying daughter oh daughter troubles oh mama dear cannot tell railroad boy loved well courted life away stay might also like oh lordy lord oh lordy oh lord oh lord oh lordy father came home work saying wheres daughter seemed hurt went upstairs give hope found hanging rope oh lordy lord oh lordy oh lord oh lord oh lordy got knife cut bosom words found go dig grave wide deep place marble stone head feet breast snow white dove tell world died love oh lordy lord oh lordy oh lord oh lord oh lordy,1,positive,0.128,0.735,0.137,0.3612, en,134,63,47.01492537313433,1,1,1,0,0
Little Simz,6720556,Introvert,https://genius.com/Little-simz-introvert-lyrics,"67 ContributorsIntrovert Lyrics
There's a war, there's a war

The kingdom's on fire, the blood of a young messiah
I see sinners in a church, I see sinners in a church
Sometimes I might be introvert
There's a war inside, I hear battle cries
Mothers burying sons, young boys playing with guns
The devil's a liar, fulfil your wildest desires
Now I don't wanna be the one to doctor this
But if you can't feel pain, then you can't feel the opposite
The fight between the Yin and Yang's a fight you'll never win
I study humans, that makes me an anthropologist
I'm not into politics, but I know it's dark times
Parts of the world still living in apartheid (Thеre's a war, there's a war)
But if I don't takе this winner's flight, that's career suicide
Though I should've been a friend when your grandma died
I see the illness eat my aunt laying in her bed
I see her soul rising as her body gets closer to death

Find a way, I'll find a way
The world's not over
I will make it, don't you cry
In God we trust
'Cause we're not alone
You might also like
I need a licence to feel
Internal wounds and I'm not tryna be healed (No, I don't, no, I don't)
I sabotage what we are trying to build
'Cause of feelings I keep inside, but it's time to reveal (Reveal, reveal)
I hate the thought of just being a burden
I hate that these conversations are surfaced
Simz the artist or Simbi the person?
To you I'm smiling, but really, I'm hurting
I dedicate my life and gave my heart over twenty-something years
Left wondering how I even feel
But was it even worth it?
I bottle up and then spill it in verses
One day, I'm wordless, next day, I'm a wordsmith
Close to success, but to happiness, I'm the furthest
At night, I wonder if my tears will dry on their own
Hoping I will fulfil Amy's purpose
Angel said, ""Don't let you ego be a disturbance""
Inner demon said, ""Motherfucker, you earned this""
Like they strip you of everything you're deserving
Realise there is a prison in us, we are conditioned as fuck
Man, it's like they can't sleep till our spirit is crushed
How much fighting must we do? We've been fearless enough
All we seen is broken homes here and poverty
Corrupt government officials, lies, and atrocities
How they talking on what's threatening the economy?
Knocking down communities to re-up on properties
I'm directly affected, it does more than just bother me
Look beyond the surface, don't just see what you wanna see
My speech ain't involuntary
Projecting intentions straight from my lungs
I'm a Black woman and I'm a proud one
We walk in blind faith not knowing the outcome
But as long as we're unified, then we've already won
Find a way, I'll find a way
The world's not over
I will make it, don't you cry
In God we trust
'Cause we're not alone

Sometimes I can be introvert
Feels like, feels like, feels like I can be introvert
Introvert
Feels like, feels like, feels like I can be introvert
Sometimes I can be introvert
And so it begins
The base is an amalgamation of everything
Rules are not to be played by rebels
The story of never-ending
Your introversion led you here
Intuition protected you along the way
Feelings allowed you to be well balanced
And perspective gave you foresight
The top of the mountain is nothing without the climb
Only the strong will survive
Only the strong (Will survive)
Alone, but not lonely
Your truth unveils with time
As you embark on a journey
Of what it takes to be a woman34Embed",2021,theres war theres war kingdoms fire blood young messiah see sinners church see sinners church sometimes might introvert theres war inside hear battle cries mothers burying sons young boys playing guns devils liar fulfil wildest desires dont wanna one doctor cant feel pain cant feel opposite fight yin yangs fight youll never win study humans makes anthropologist im politics know dark times parts world still living apartheid thеres war theres war dont takе winners flight thats career suicide though shouldve friend grandma died see illness eat aunt laying bed see soul rising body gets closer death find way ill find way worlds make dont cry god trust cause alone might also like need licence feel internal wounds im tryna healed dont dont sabotage trying build cause feelings keep inside time reveal reveal reveal hate thought burden hate conversations surfaced simz artist simbi person im smiling really im hurting dedicate life gave heart twentysomething years left wondering even feel even worth bottle spill verses one day im wordless next day im wordsmith close success happiness im furthest night wonder tears dry hoping fulfil amys purpose angel said dont let ego disturbance inner demon said motherfucker earned like strip everything youre deserving realise prison us conditioned fuck man like cant sleep till spirit crushed much fighting must weve fearless enough seen broken homes poverty corrupt government officials lies atrocities talking whats threatening economy knocking communities reup properties im directly affected bother look beyond surface dont see wanna see speech aint involuntary projecting intentions straight lungs im black woman im proud one walk blind faith knowing outcome long unified weve already find way ill find way worlds make dont cry god trust cause alone sometimes introvert feels like feels like feels like introvert introvert feels like feels like feels like introvert sometimes introvert begins base amalgamation everything rules played rebels story neverending introversion led intuition protected along way feelings allowed well balanced perspective gave foresight top mountain nothing without climb strong survive strong survive alone lonely truth unveils time embark journey takes woman,0,negative,0.28,0.541,0.179,-0.9944, en,340,246,72.35294117647058,1,1,1,6,2
Dua Lipa,5153374,Physical,https://genius.com/Dua-lipa-physical-lyrics,"120 ContributorsTranslationsTürkçeEspañolفارسیNederlandsΕλληνικάFrançaisBahasa IndonesiaDeutschPhysical Lyrics
Common love isn't for us
We created something phenomenal
Don't you agree?
Don't you agree?
You got me feeling diamond rich
Nothing on this planet compares to it
Don't you agree?
Don't you agree?

Who needs to go to sleep when I got you next to me?

All night, I'll riot with you
I know you got my back and you know I got you
So come on (Come on), come on (Come on), come on (Come on)
Let's get physical
Lights out, follow the noise
Baby, keep on dancing like you ain't got a choice
So come on (Come on), come on (Come on), come on
Let's get physical

Adrenaline keeps on rushing in
Love the simulation we're dreaming in
Don't you agree?
Don't you agree?
I don't wanna live another life
'Cause this one's pretty nice
Living it up
See Dua Lipa LiveGet tickets as low as $40You might also like
Who needs to go to sleep when I got you next to me?

All night, I'll riot with you
I know you got my back and you know I got you
So come on (Come on), come on (Come on), come on (Come on)
Let's get physical
Lights out, follow the noise
Baby, keep on dancing like you ain't got a choice
So come on (Come on), come on (Come on), come on
Let's get physical

Hold on just a little tighter
Come on, hold on, tell me if you're ready
Come on (Come on, come on)
Baby, keep on dancing
Let's get physical
Hold on just a little tighter
Come on, hold on, tell me if you're ready
Come on (Come on, come on)
Baby, keep on dancing
Let's get physical

All night, I'll riot with you
I know you got my back and you know I got you
So come on, come on, come on
Let's get physical
Lights out, follow the noise
Baby, keep on dancing like you ain't got a choice
So come on (Come on), come on (Come on), come on
Let's get physical (Physical, physical)
Let's get physical (Physical, physical)
Physical (Physical, physical)
Let's get physical (Physical, physical)
Come on, phy-phy-phy-physical81Embed",2020,common love isnt us created something phenomenal dont agree dont agree got feeling diamond rich nothing planet compares dont agree dont agree needs go sleep got next night ill riot know got back know got come come come come come come lets get physical lights follow noise baby keep dancing like aint got choice come come come come come lets get physical adrenaline keeps rushing love simulation dreaming dont agree dont agree dont wanna live another life cause ones pretty nice living see dua lipa liveget tickets low might also like needs go sleep got next night ill riot know got back know got come come come come come come lets get physical lights follow noise baby keep dancing like aint got choice come come come come come lets get physical hold little tighter come hold tell youre ready come come come baby keep dancing lets get physical hold little tighter come hold tell youre ready come come come baby keep dancing lets get physical night ill riot know got back know got come come come lets get physical lights follow noise baby keep dancing like aint got choice come come come come come lets get physical physical physical lets get physical physical physical physical physical physical lets get physical physical physical come phyphyphyphysical,1,positive,0.143,0.721,0.136,0.3248, en,214,67,31.308411214953267,1,1,0,3,0
